"","Lowest","Low","Middle","Higher","National","Regressivity","Country","iso3c"
"Afghanistan",0.033491190674342,0.0367929808801502,0.0394562064202158,0.0367499035013976,0.0356307475641974,0.911327309283092,"Afghanistan","AFG"
"Albania",0.0328254680652554,0.0340862610651521,0.03438172813751,0.0315607651244417,0.0340545802942923,1.04007199875628,"Albania","ALB"
"Armenia",0.0264280359328104,0.0269384885424407,0.0276214358412945,0.0288354797123247,0.0267994849282902,0.916511055008205,"Armenia","ARM"
"Azerbaijan",0.0378943657960453,0.0371976926828981,0.0364239089144719,0.0375290577197393,0.0371351484507996,1.00973400608761,"Azerbaijan","AZE"
"Bangladesh",0.0393225548491544,0.0311192166562823,0.0281449857968828,0.0273639735776486,0.0371800669562977,1.43701917916168,"Bangladesh","BGD"
"Belarus",0.0268086307661591,0.0303633309610865,0.0330415988361075,0.0339897607923179,0.0328734505749326,0.788726667715125,"Belarus","BLR"
"Benin",0.0336043795720227,0.0328298107627989,0.0308559188013198,NA,0.0334138581518482,NA,"Benin","BEN"
"Bhutan",0.0384164123251366,0.0393990216632788,0.0390682174327602,0.038012452422365,0.0390472306543437,1.01062704132538,"Bhutan","BTN"
"Bolivia",0.0310072823535757,0.030094364427692,0.0286819634274071,0.0265431210748432,0.02945204859112,1.16818524340619,"Bolivia","BOL"
"Bosnia and Herzegovina",0.0174729248843478,0.0172573285710065,0.0182673203458698,0.0189659433642122,0.018551481297663,0.921278976152503,"Bosnia and Herzegovina","BIH"
"Brazil",0.0299064106719489,0.0296342988025838,0.0289639724917986,0.0282023247970639,0.0291147455696496,1.06042359582577,"Brazil","BRA"
"Bulgaria",0.0181360121319683,0.0170615730469564,0.017170807472808,0.0163930869279244,0.0170567320341265,1.10632074433003,"Bulgaria","BGR"
"Burkina Faso",0.0188479044596629,0.0255215361219881,0.0273966736192936,0.0259435961818851,0.0196780662709438,0.726495445254552,"Burkina Faso","BFA"
"Burundi",0.0361036246614333,0.0314290294157819,0.0266515308023617,NA,0.0356985740306144,NA,"Burundi","BDI"
"Cabo Verde",0.0295950878083137,0.0282866766756662,0.0267201775748232,0.025959262282394,0.0278203378063721,1.14005889252044,"Cabo Verde","CPV"
"Cambodia",0.0331100627741588,0.0336297485900337,0.0348078086971199,0.0338639175184949,0.033526239187587,0.977738702442669,"Cambodia","KHM"
"Cameroon",0.0275435893987117,0.0254393286269783,0.0231596574144354,0.0205916521555402,0.0265496673689283,1.33760949294693,"Cameroon","CMR"
"Chad",0.0180460708032225,0.0205290267314444,0.0205603379054838,0.0115556342701424,0.0188821216295854,1.5616685662898,"Chad","TCD"
"China",0.0336658887825173,0.0330460874619467,0.0316344790685329,0.0302416969039311,0.0324469812630367,1.11322750470861,"China","CHN"
"Colombia",0.0325963016299689,0.0309732911892371,0.0290354462236183,0.0265333515308946,0.0296736675914057,1.2285029877215,"Colombia","COL"
"Congo, Dem. Rep.",0.0268092299175015,0.0229068373470794,0.0235443296671448,0.0257565211090764,0.0266973465977885,1.04087154487856,"Congo, Dem. Rep.","COD"
"Congo, Rep.",0.0246603897176972,0.0231402899391565,0.0230659621633126,0.0220135085576552,0.0236302185296833,1.12023895023865,"Congo, Rep.","COG"
"Cote d'Ivoire",0.0405987057532429,0.0385427508442062,0.0351621133034746,0.0337154078829478,0.0387995195348529,1.20415881943924,"Cote d'Ivoire","CIV"
"Djibouti",0.0307033690704631,0.029157808863715,0.0286159512167351,0.0284956259085477,0.0293794043313777,1.07747656321012,"Djibouti","DJI"
"Egypt, Arab Rep.",0.0274420511319259,0.0266668238370136,0.0255224252166916,0.0240712561845217,0.0268944099089663,1.14003402737127,"Egypt, Arab Rep.","EGY"
"El Salvador",0.0227376865003121,0.0169166186027715,0.0158795386701111,0.0160206963262524,0.0176518624681356,1.41926955216378,"El Salvador","SLV"
"Ethiopia",0.013665824083292,0.0136401260571437,0.0151563140220286,0.0161683699661558,0.0136787584906936,0.845219654912508,"Ethiopia","ETH"
"Fiji",0.0233888689365256,0.023631085065617,0.0229370219417136,0.0228600937047002,0.0233958316013896,1.02313093019897,"Fiji","FJI"
"Gabon",0.0294538804552915,0.0273246610916443,0.0263101791277452,0.0243718706329202,0.027141130659646,1.20851948128704,"Gabon","GAB"
"Gambia, The",0.0275846858616256,0.0259415100412149,0.0232821754915042,0.021781549196068,0.0261906227863547,1.26642442249265,"Gambia, The","GMB"
"Ghana",0.0337939260768689,0.0320352644006903,0.0295539652884833,0.0275470812668871,0.0323129717413397,1.22676975282644,"Ghana","GHA"
"Guatemala",0.0231120242106804,0.0234725736709275,0.0238485521363836,0.0235537160346097,0.0235264763724542,0.981247467563916,"Guatemala","GTM"
"Guinea",0.031396851843541,0.027832901591935,0.0232975131728509,NA,0.0302455013057217,NA,"Guinea","GIN"
"Honduras",0.0299452171308186,0.0275675376157138,0.0270281437232003,0.0265015518986312,0.0281961946386011,1.12994202171101,"Honduras","HND"
"India",0.0335220511598422,0.0312479393785187,0.0297172540453209,0.0308277911578308,0.0328554873532988,1.08739711477275,"India","IND"
"Indonesia",0.0303697137864103,0.0253715480506652,0.0230819582708368,0.0230097908360956,0.028259153803538,1.31986048907359,"Indonesia","IDN"
"Iraq",0.0395462156041826,0.0392663828766796,0.0391451207409561,0.0391813852949585,0.0392652429819023,1.00931131726144,"Iraq","IRQ"
"Jamaica",0.0278385773454358,0.0261315776591631,0.0243192447185202,0.0239651068862625,0.0255798081624946,1.16162959245526,"Jamaica","JAM"
"Jordan",0.0217161916077643,0.0217004014577668,0.020782344726911,0.0198116699318008,0.0211781870451575,1.09613130455533,"Jordan","JOR"
"Kazakhstan",0.0174283245306622,0.0177541698308668,0.0177177260027512,0.0171614709847886,0.0177169259638605,1.01554957300048,"Kazakhstan","KAZ"
"Kenya",0.0249457086136888,0.0235588426098318,0.0204426458196077,0.0165034778474679,0.0241691912995359,1.51154252723259,"Kenya","KEN"
